county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN
48507,12060,90.175,9.225,0.425,0.125,0.0,2864.0,12.0,13.0,0.0,1490.0
49001,6461,11.05,88.55,0.15,0.15,0.0,357.0,6.0,23.0,19.0,2695.0
49003,50991,7.8454547,88.56364,0.3272727,0.95454544,0.72727275,4473.0,55.0,614.0,333.0,21548.0
49005,117449,9.842308,84.49231,0.6269231,0.45,2.4038463,16650.0,217.0,1796.0,1663.0,38032.0
49007,20927,12.92,83.52,0.62,0.52,0.62,2392.0,18.0,151.0,115.0,6693.0
49009,776,2.3,95.7,0.0,1.0,0.0,111.0,0.0,7.0,5.0,496.0
49011,323374,9.618519,84.03519,1.175926,0.3962963,1.9203703,57411.0,597.0,5004.0,2667.0,104135.0
49013,19817,7.133333,86.96667,0.16666667,3.8333333,0.36666667,843.0,9.0,107.0,90.0,7512.0
49015,10728,6.3,93.1,0.16666667,0.13333334,0.06666667,572.0,8.0,47.0,64.0,4207.0
49017,5069,5.55,90.15,0.55,0.45,0.8,514.0,11.0,37.0,12.0,2158.0
49019,9388,10.05,83.05,0.3,3.55,1.4,2806.0,23.0,62.0,46.0,2248.0
49021,47139,7.175,88.075,0.525,1.85,0.6125,4892.0,78.0,666.0,479.0,18989.0
49023,10400,4.25,92.7,0.1,0.9,0.3,645.0,5.0,91.0,37.0,5087.0
49025,7202,4.9,91.75,0.15,0.25,0.2,1083.0,8.0,51.0,40.0,2998.0
49027,12582,12.9,83.96667,0.43333334,0.7,0.9,624.0,5.0,64.0,93.0,5404.0
49029,10276,1.55,97.1,0.2,0.0,0.4,1086.0,13.0,160.0,166.0,5181.0
49031,1865,5.4,93.2,0.2,0.0,0.0,86.0,0.0,7.0,5.0,773.0
49033,2292,6.5,91.3,0.1,0.0,0.0,180.0,2.0,14.0,16.0,1157.0
49035,1078958,16.909004,73.40332,1.5725118,0.7412322,3.772038,289906.0,2203.0,12219.0,12079.0,230174.0
49037,15152,4.75,40.375,0.15,52.475,0.875,3113.0,17.0,99.0,113.0,3535.0
49039,28261,10.0,86.06,0.78,0.76,0.78,1794.0,19.0,215.0,138.0,10459.0
49041,20871,5.02,92.16,0.42,1.32,0.2,1084.0,14.0,133.0,79.0,9052.0
49043,38521,13.869231,82.792305,0.5153846,0.24615385,1.8769231,15244.0,65.0,367.0,158.0,10252.0
49045,60893,15.38,80.04,0.64,1.13,0.74,8943.0,81.0,958.0,510.0,21014.0
49047,35721,8.55,81.26667,0.56666666,7.2166667,0.43333334,1663.0,29.0,226.0,124.0,13261.0
49049,551957,11.114173,83.603935,0.52283466,0.42204726,1.435433,76033.0,853.0,10377.0,4211.0,192812.0
